Timestamp,User_ID,Page_Visited,Device_Type,Region,Session_Duration,Bounce_Rate,Conversion,Page_Load_Time,Date,Hour,DayOfWeek,Engagement_Score,Converted_Session
2024-01-01 00:00:00,user_103,Home,Mobile,Europe,195.72,0.93,0,2.23,2024-01-01,0,Monday,60.59,Not Converted
2024-01-01 00:15:00,user_436,Login,Mobile,North America,447.93,0.87,0,3.58,2024-01-01,0,Monday,97.8,Not Converted
2024-01-01 00:30:00,user_861,Search,Tablet,Europe,582.88,0.13,0,0.97,2024-01-01,0,Monday,295.88,Not Converted
2024-01-01 00:45:00,user_271,Login,Desktop,South America,265.63,0.17,0,9.53,2024-01-01,0,Monday,25.23,Not Converted
2024-01-01 01:00:00,user_107,Checkout,Mobile,North America,517.31,0.36,0,6.02,2024-01-01,1,Monday,73.69,Not Converted
2024-01-01 01:15:00,user_72,Checkout,Desktop,South America,341.69,0.29,0,8.24,2024-01-01,1,Monday,36.98,Not Converted
2024-01-01 01:30:00,user_701,Checkout,Mobile,Africa,98.56,0.61,0,4.52,2024-01-01,1,Monday,17.86,Not Converted
2024-01-01 01:45:00,user_21,Profile,Desktop,South America,415.92,0.9,0,9.08,2024-01-01,1,Monday,41.26,Not Converted
2024-01-01 02:00:00,user_615,Help,Tablet,South America,310.49,0.96,0,5.09,2024-01-01,2,Monday,50.98,Not Converted
2024-01-01 02:15:00,user_122,Profile,Desktop,Europe,392.11,0.65,0,5.95,2024-01-01,2,Monday,56.42,Not Converted
2024-01-01 02:30:00,user_467,Home,Desktop,Africa,534.36,0.84,0,5.17,2024-01-01,2,Monday,86.61,Not Converted
2024-01-01 02:45:00,user_215,Checkout,Desktop,South America,267.06,0.53,0,7.47,2024-01-01,2,Monday,31.53,Not Converted
2024-01-01 03:00:00,user_331,Search,Desktop,South America,541.2,0.21,0,5.88,2024-01-01,3,Monday,78.66,Not Converted
2024-01-01 03:15:00,user_459,Login,Desktop,Africa,451.65,0.52,1,3.08,2024-01-01,3,Monday,110.7,Converted
2024-01-01 03:30:00,user_88,Help,Tablet,Africa,295.72,0.56,0,1.88,2024-01-01,3,Monday,102.68,Not Converted
2024-01-01 03:45:00,user_373,Product,Mobile,North America,363.92,0.74,0,6.26,2024-01-01,3,Monday,50.13,Not Converted
2024-01-01 04:00:00,user_100,Search,Desktop,Europe,198.72,0.22,0,5.46,2024-01-01,4,Monday,30.76,Not Converted
2024-01-01 04:15:00,user_872,Help,Tablet,Africa,590.24,0.37,0,1.41,2024-01-01,4,Monday,244.91,Not Converted
2024-01-01 04:30:00,user_664,Profile,Desktop,Africa,294.4,0.36,0,4.26,2024-01-01,4,Monday,55.97,Not Converted
2024-01-01 04:45:00,user_131,Profile,Desktop,Asia,31.09,0.96,0,5.39,2024-01-01,4,Monday,4.87,Not Converted
2024-01-01 05:00:00,user_662,Search,Mobile,Africa,199.34,0.44,0,8.36,2024-01-01,5,Monday,21.3,Not Converted
2024-01-01 05:15:00,user_309,Profile,Desktop,Europe,375.87,0.76,0,1.22,2024-01-01,5,Monday,169.31,Not Converted
2024-01-01 05:30:00,user_770,Checkout,Tablet,South America,38.52,0.75,0,3.81,2024-01-01,5,Monday,8.01,Not Converted
2024-01-01 05:45:00,user_344,Home,Tablet,South America,19.21,0.27,0,8.32,2024-01-01,5,Monday,2.06,Not Converted
2024-01-01 06:00:00,user_492,Login,Mobile,South America,272.76,0.57,0,6.66,2024-01-01,6,Monday,35.61,Not Converted
2024-01-01 06:15:00,user_414,Home,Desktop,South America,202.95,0.89,0,3.25,2024-01-01,6,Monday,47.75,Not Converted
2024-01-01 06:30:00,user_806,Help,Tablet,Asia,265.79,0.48,0,8.53,2024-01-01,6,Monday,27.89,Not Converted
2024-01-01 06:45:00,user_386,Login,Desktop,Africa,161.3,0.95,0,5.19,2024-01-01,6,Monday,26.06,Not Converted
2024-01-01 07:00:00,user_192,Login,Desktop,South America,103.01,0.21,0,5.23,2024-01-01,7,Monday,16.53,Not Converted
