order_item_id,order_id,product_id,quantity,price,revenue
1,ORD0000000,PROD00502,3,843.38,2530.14
2,ORD0000000,PROD00666,4,332.01,1328.04
3,ORD0000000,PROD00159,3,629.83,1889.4900000000002
4,ORD0000000,PROD00777,1,239.59,239.59
5,ORD0000001,PROD00658,4,438.34,1753.36
6,ORD0000001,PROD00387,4,607.52,2430.08
7,ORD0000001,PROD00379,1,1628.8,1628.8
8,ORD0000001,PROD00611,4,1291.33,5165.32
9,ORD0000002,PROD00661,3,271.27,813.81
10,ORD0000002,PROD00100,4,1076.7,4306.8
11,ORD0000002,PROD00400,4,1603.31,6413.24
12,ORD0000002,PROD00251,2,1994.0,3988.0
13,ORD0000003,PROD00628,4,1341.47,5365.88
14,ORD0000004,PROD00371,2,334.8,669.6
15,ORD0000005,PROD00206,2,215.8,431.6
16,ORD0000005,PROD00763,2,1656.82,3313.64
17,ORD0000006,PROD00198,4,1700.0,6800.0
18,ORD0000006,PROD00169,4,1135.06,4540.24
19,ORD0000006,PROD00553,4,923.76,3695.04
20,ORD0000006,PROD00314,1,571.14,571.14
21,ORD0000007,PROD00241,2,924.73,1849.46
22,ORD0000008,PROD00610,2,1531.13,3062.26
23,ORD0000008,PROD00477,4,1942.5,7770.0
24,ORD0000009,PROD00761,4,1151.69,4606.76
25,ORD0000009,PROD00145,3,364.83,1094.49
26,ORD0000009,PROD00645,4,926.13,3704.52
27,ORD0000009,PROD00729,2,1365.42,2730.84
28,ORD0000010,PROD00570,4,1329.72,5318.88
29,ORD0000010,PROD00737,3,1606.05,4818.15
30,ORD0000011,PROD00674,4,142.04,568.16
31,ORD0000011,PROD00461,3,308.84,926.52
32,ORD0000011,PROD00560,3,676.23,2028.69
33,ORD0000011,PROD00238,2,1253.76,2507.52
34,ORD0000012,PROD00556,4,12.01,48.04
35,ORD0000012,PROD00295,1,1947.74,1947.74
36,ORD0000012,PROD00787,3,704.09,2112.27
37,ORD0000012,PROD00284,1,20.02,20.02
38,ORD0000012,PROD00638,4,1662.69,6650.76
39,ORD0000013,PROD00447,3,1369.51,4108.53
40,ORD0000013,PROD00728,2,1179.91,2359.82
41,ORD0000013,PROD00466,3,870.3,2610.8999999999996
42,ORD0000013,PROD00633,4,1325.04,5300.16
43,ORD0000013,PROD00200,2,1951.07,3902.14
44,ORD0000014,PROD00231,2,1125.78,2251.56
45,ORD0000014,PROD00649,3,694.42,2083.2599999999998
46,ORD0000014,PROD00655,4,1190.25,4761.0
47,ORD0000014,PROD00750,2,104.55,209.1
48,ORD0000015,PROD00242,4,1170.74,4682.96
49,ORD0000015,PROD00456,3,373.09,1119.27
50,ORD0000015,PROD00547,3,733.06,2199.18
51,ORD0000015,PROD00166,2,1165.93,2331.86
52,ORD0000015,PROD00418,3,522.81,1568.4299999999998
53,ORD0000016,PROD00220,4,953.77,3815.08
54,ORD0000016,PROD00380,4,892.24,3568.96
55,ORD0000016,PROD00173,3,1780.25,5340.75
56,ORD0000017,PROD00371,2,334.8,669.6
57,ORD0000017,PROD00660,2,1335.34,2670.68
58,ORD0000017,PROD00030,1,1938.05,1938.05
59,ORD0000018,PROD00437,2,1219.21,2438.42
60,ORD0000018,PROD00588,1,183.12,183.12
61,ORD0000018,PROD00270,1,445.68,445.68
62,ORD0000019,PROD00271,1,1156.77,1156.77
63,ORD0000019,PROD00287,1,820.32,820.32
64,ORD0000019,PROD00224,1,1848.52,1848.52
65,ORD0000019,PROD00211,1,679.7,679.7
66,ORD0000020,PROD00731,4,294.71,1178.84
67,ORD0000020,PROD00709,3,940.41,2821.23
68,ORD0000020,PROD00276,4,689.49,2757.96
69,ORD0000020,PROD00173,2,1780.25,3560.5
70,ORD0000020,PROD00253,4,1811.89,7247.56
71,ORD0000021,PROD00635,1,330.84,330.84
72,ORD0000021,PROD00392,4,462.61,1850.44
73,ORD0000021,PROD00734,3,166.59,499.77
74,ORD0000022,PROD00702,2,608.56,1217.12
