Date,Region,Product_Category,Units_Sold,Revenue,Marketing_Spend,Customer_Satisfaction
2022-01-01 00:00:00.000000000,Asia,Home,715,19220.72,8960.82,7.9
2022-01-01 05:15:25.385077015,South America,Beauty,25,29032.07,7023.85,9.5
2022-01-01 10:30:50.770154030,North America,Sports,432,39704.15,7377.65,5.0
2022-01-01 15:46:16.155231046,Asia,Home,598,16553.53,2975.07,7.6
2022-01-01 21:01:41.540308061,Asia,Electronics,814,35950.14,3104.44,6.1
2022-01-02 02:17:06.925385077,South America,Beauty,602,7203.23,7851.55,6.8
2022-01-02 07:32:32.310462092,North America,Sports,414,14919.04,3037.39,5.7
2022-01-02 12:47:57.695539107,North America,Electronics,949,7663.18,5671.42,6.1
2022-01-02 18:03:23.080616123,Asia,Electronics,645,40655.91,2568.59,4.2
2022-01-02 23:18:48.465693138,Europe,Electronics,540,11521.14,8188.14,9.9
2022-01-03 04:34:13.850770154,Asia,Electronics,976,36011.48,1193.96,7.7
2022-01-03 09:49:39.235847169,Asia,Home,623,47193.27,8311.52,7.0
2022-01-03 15:05:04.620924184,Asia,Home,913,26624.72,6067.03,6.3
2022-01-03 20:20:30.006001200,Asia,Home,86,27231.45,1950.4,7.2
2022-01-04 01:35:55.391078215,South America,Sports,238,23321.16,5466.15,6.3
2022-01-04 06:51:20.776155231,North America,Sports,971,16631.56,2896.74,6.2
2022-01-04 12:06:46.161232246,South America,Sports,306,24044.92,3302.33,6.8
2022-01-04 17:22:11.546309261,South America,Clothing,519,30338.97,3580.13,5.7
2022-01-04 22:37:36.931386277,South America,Sports,724,49306.58,726.86,5.1
2022-01-05 03:53:02.316463292,Asia,Home,993,46919.35,9861.02,7.3
2022-01-05 09:08:27.701540308,Europe,Home,975,43176.57,412.19,9.1
2022-01-05 14:23:53.086617323,North America,Clothing,582,44511.96,6658.72,4.9
2022-01-05 19:39:18.471694338,Europe,Clothing,547,23658.53,3775.15,4.2
2022-01-06 00:54:43.856771354,South America,Sports,592,33043.49,6495.5,5.5
2022-01-06 06:10:09.241848369,South America,Beauty,624,44805.8,3626.86,9.9
2022-01-06 11:25:34.626925385,Europe,Clothing,988,19951.06,6770.13,9.0
2022-01-06 16:41:00.012002400,Europe,Electronics,335,48107.24,7319.43,7.6
2022-01-06 21:56:25.397079415,Europe,Home,372,21081.41,6936.47,9.6
2022-01-07 03:11:50.782156431,South America,Electronics,678,30253.59,1228.22,6.7
2022-01-07 08:27:16.167233446,South America,Home,884,35635.33,6603.24,9.9
2022-01-07 13:42:41.552310462,North America,Home,368,47554.3,2871.88,5.8
2022-01-07 18:58:06.937387477,North America,Clothing,715,12608.51,385.13,5.4
2022-01-08 00:13:32.322464492,South America,Clothing,796,37433.48,4206.82,7.8
2022-01-08 05:28:57.707541508,Europe,Electronics,333,26280.37,4392.08,6.3
2022-01-08 10:44:23.092618523,Europe,Home,707,13793.58,4725.02,7.8
2022-01-08 15:59:48.477695539,North America,Electronics,335,38942.04,7077.76,5.8
2022-01-08 21:15:13.862772554,South America,Beauty,634,27835.0,3157.55,7.7
2022-01-09 02:30:39.247849569,North America,Electronics,834,33218.2,3221.28,5.7
2022-01-09 07:46:04.632926585,North America,Sports,174,16483.6,699.47,4.3
2022-01-09 13:01:30.018003600,Asia,Electronics,582,24323.06,6899.53,9.5
2022-01-09 18:16:55.403080616,Asia,Sports,613,31059.04,5721.48,9.3
2022-01-09 23:32:20.788157631,Asia,Sports,807,20543.09,3559.31,9.8
2022-01-10 04:47:46.173234646,Europe,Sports,464,10319.44,7081.37,8.3
2022-01-10 10:03:11.558311662,South America,Beauty,978,48101.2,5419.84,8.1
2022-01-10 15:18:36.943388677,South America,Electronics,162,25817.64,4745.52,7.4
2022-01-10 20:34:02.328465693,South America,Electronics,746,36829.06,5162.11,4.8
2022-01-11 01:49:27.713542708,South America,Beauty,136,20846.84,6399.85,5.1
2022-01-11 07:04:53.098619723,Asia,Home,202,18079.02,6634.03,5.7
2022-01-11 12:20:18.483696739,Europe,Clothing,636,20654.63,2960.68,9.3
2022-01-11 17:35:43.868773754,Europe,Electronics,783,20755.23,1493.36,5.0
2022-01-11 22:51:09.253850770,Asia,Clothing,539,27436.92,1650.68,9.5
2022-01-12 04:06:34.638927785,Europe,Beauty,19,27401.76,6429.97,7.1
2022-01-12 09:22:00.024004800,Asia,Home,101,25109.11,8741.45,8.3
2022-01-12 14:37:25.409081816,South America,Home,148,7171.9,4154.01,4.7
2022-01-12 19:52:50.794158831,Asia,Home,490,25055.74,1778.25,5.6
2022-01-13 01:08:16.179235847,South America,Beauty,458,8870.64,7590.36,9.8
2022-01-13 06:23:41.564312862,South America,Sports,342,6743.72,8341.65,5.6
2022-01-13 11:39:06.949389877,North America,Sports,878,46665.96,8817.77,5.8
2022-01-13 16:54:32.334466893,Asia,Clothing,349,30445.03,6107.63,5.2
2022-01-13 22:09:57.719543908,North America,Sports,970,33144.76,8621.21,4.8
2022-01-14 03:25:23.104620924,Asia,Sports,61,20388.79,252.61,5.4
2022-01-14 08:40:48.489697939,Asia,Home,716,45494.55,1161.63,7.9
2022-01-14 13:56:13.874774955,North America,Home,475,32077.56,1016.5,6.7
2022-01-14 19:11:39.259851970,North America,Clothing,727,38573.91,7154.79,7.3
2022-01-15 00:27:04.644928985,Asia,Electronics,808,18743.84,788.86,4.7
2022-01-15 05:42:30.030006001,Europe,Clothing,484,48020.59,5014.01,8.8
2022-01-15 10:57:55.415083016,South America,Clothing,410,41112.83,4779.8,8.7
2022-01-15 16:13:20.800160032,North America,Beauty,448,42770.45,3175.96,4.1
2022-01-15 21:28:46.185237047,South America,Beauty,887,9023.62,8717.01,6.3
2022-01-16 02:44:11.570314062,Europe,Clothing,614,13912.68,1787.29,4.4
2022-01-16 07:59:36.955391078,Europe,Clothing,941,14638.52,3589.38,8.8
2022-01-16 13:15:02.340468093,Europe,Clothing,931,13910.01,7764.3,8.4
2022-01-16 18:30:27.725545109,North America,Sports,830,42842.7,401.18,9.4
2022-01-16 23:45:53.110622124,Europe,Beauty,666,2078.3,6762.21,5.4
2022-01-17 05:01:18.495699139,North America,Clothing,607,4266.95,8182.34,6.7
2022-01-17 10:16:43.880776155,Europe,Home,518,14058.79,9329.45,5.1
2022-01-17 15:32:09.265853170,South America,Home,162,10393.71,8775.34,6.2
2022-01-17 20:47:34.650930186,South America,Sports,523,11977.05,3261.9,7.1
2022-01-18 02:03:00.036007201,Asia,Sports,512,39998.19,5905.0,4.3
2022-01-18 07:18:25.421084216,South America,Electronics,863,28374.77,865.21,8.3
2022-01-18 12:33:50.806161232,Asia,Electronics,910,785.65,2652.91,7.3
2022-01-18 17:49:16.191238247,South America,Electronics,781,21751.48,1032.8,9.0
2022-01-18 23:04:41.576315263,North America,Sports,685,20690.3,3220.35,5.6
2022-01-19 04:20:06.961392278,South America,Sports,15,6140.29,8764.35,9.4
