order_item_id,order_id,product_id,quantity
1,ORD0000000,PROD00502,3
2,ORD0000000,PROD00666,4
3,ORD0000000,PROD00159,3
4,ORD0000000,PROD00777,1
5,ORD0000001,PROD00658,4
6,ORD0000001,PROD00387,4
7,ORD0000001,PROD00379,1
8,ORD0000001,PROD00611,4
9,ORD0000002,PROD00661,3
10,ORD0000002,PROD00100,4
11,ORD0000002,PROD00400,4
12,ORD0000002,PROD00251,2
13,ORD0000003,PROD00628,4
14,ORD0000004,PROD00371,2
15,ORD0000005,PROD00206,2
16,ORD0000005,PROD00763,2
17,ORD0000006,PROD00198,4
18,ORD0000006,PROD00169,4
19,ORD0000006,PROD00553,4
20,ORD0000006,PROD00314,1
21,ORD0000007,PROD00241,2
22,ORD0000008,PROD00610,2
23,ORD0000008,PROD00477,4
24,ORD0000009,PROD00761,4
25,ORD0000009,PROD00145,3
26,ORD0000009,PROD00645,4
27,ORD0000009,PROD00729,2
28,ORD0000010,PROD00570,4
29,ORD0000010,PROD00737,3
30,ORD0000011,PROD00674,4
31,ORD0000011,PROD00461,3
32,ORD0000011,PROD00560,3
33,ORD0000011,PROD00238,2
34,ORD0000012,PROD00556,4
35,ORD0000012,PROD00295,1
36,ORD0000012,PROD00787,3
37,ORD0000012,PROD00284,1
38,ORD0000012,PROD00638,4
39,ORD0000013,PROD00447,3
40,ORD0000013,PROD00728,2
41,ORD0000013,PROD00466,3
42,ORD0000013,PROD00633,4
43,ORD0000013,PROD00200,2
44,ORD0000014,PROD00231,2
45,ORD0000014,PROD00649,3
46,ORD0000014,PROD00655,4
47,ORD0000014,PROD00750,2
48,ORD0000015,PROD00242,4
49,ORD0000015,PROD00456,3
50,ORD0000015,PROD00547,3
51,ORD0000015,PROD00166,2
52,ORD0000015,PROD00418,3
53,ORD0000016,PROD00220,4
54,ORD0000016,PROD00380,4
55,ORD0000016,PROD00173,3
56,ORD0000017,PROD00371,2
57,ORD0000017,PROD00660,2
58,ORD0000017,PROD00030,1
59,ORD0000018,PROD00437,2
60,ORD0000018,PROD00588,1
61,ORD0000018,PROD00270,1
62,ORD0000019,PROD00271,1
63,ORD0000019,PROD00287,1
64,ORD0000019,PROD00224,1
65,ORD0000019,PROD00211,1
66,ORD0000020,PROD00731,4
67,ORD0000020,PROD00709,3
68,ORD0000020,PROD00276,4
69,ORD0000020,PROD00173,2
70,ORD0000020,PROD00253,4
71,ORD0000021,PROD00635,1
72,ORD0000021,PROD00392,4
73,ORD0000021,PROD00734,3
74,ORD0000022,PROD00702,2
75,ORD0000022,PROD00553,2
76,ORD0000022,PROD00138,3
77,ORD0000022,PROD00667,1
78,ORD0000023,PROD00392,4
79,ORD0000024,PROD00208,1
80,ORD0000024,PROD00228,1
81,ORD0000024,PROD00589,4
82,ORD0000025,PROD00026,1
83,ORD0000025,PROD00679,4
84,ORD0000025,PROD00061,3
85,ORD0000026,PROD00409,4
86,ORD0000026,PROD00078,1
87,ORD0000026,PROD00234,3
88,ORD0000026,PROD00791,2
89,ORD0000026,PROD00664,3
90,ORD0000027,PROD00118,1
91,ORD0000028,PROD00657,1
92,ORD0000028,PROD00033,2
93,ORD0000028,PROD00708,4
94,ORD0000029,PROD00443,2
95,ORD0000029,PROD00655,2
96,ORD0000030,PROD00350,3
97,ORD0000030,PROD00352,2
98,ORD0000031,PROD00660,3
99,ORD0000032,PROD00414,4
100,ORD0000032,PROD00111,1
101,ORD0000032,PROD00020,3
102,ORD0000032,PROD00409,3
103,ORD0000032,PROD00275,2
104,ORD0000033,PROD00001,4
105,ORD0000034,PROD00077,2
106,ORD0000035,PROD00799,4
107,ORD0000035,PROD00603,4
108,ORD0000035,PROD00152,2
109,ORD0000036,PROD00558,2
110,ORD0000036,PROD00069,2
111,ORD0000037,PROD00094,1
112,ORD0000037,PROD00753,1
113,ORD0000037,PROD00663,4
114,ORD0000038,PROD00470,3
115,ORD0000039,PROD00244,1
116,ORD0000040,PROD00145,3
117,ORD0000041,PROD00593,3
118,ORD0000041,PROD00437,3
119,ORD0000042,PROD00072,4
120,ORD0000042,PROD00559,4
121,ORD0000042,PROD00404,2
122,ORD0000042,PROD00440,4
123,ORD0000042,PROD00347,4
124,ORD0000043,PROD00204,3
125,ORD0000043,PROD00323,3
126,ORD0000044,PROD00094,3
127,ORD0000045,PROD00664,4
128,ORD0000045,PROD00766,2
129,ORD0000046,PROD00143,1
130,ORD0000046,PROD00183,2
131,ORD0000046,PROD00421,3
132,ORD0000047,PROD00445,1
133,ORD0000047,PROD00719,4
134,ORD0000048,PROD00223,1
135,ORD0000048,PROD00750,1
136,ORD0000048,PROD00434,2
137,ORD0000048,PROD00592,1
138,ORD0000048,PROD00526,1
139,ORD0000049,PROD00477,4
140,ORD0000049,PROD00171,1
141,ORD0000049,PROD00439,1
142,ORD0000049,PROD00745,1
143,ORD0000050,PROD00687,1
144,ORD0000050,PROD00215,1
145,ORD0000050,PROD00284,3
146,ORD0000050,PROD00342,4
147,ORD0000050,PROD00121,2
148,ORD0000051,PROD00262,1
149,ORD0000052,PROD00085,3
150,ORD0000052,PROD00474,2
151,ORD0000052,PROD00426,2
152,ORD0000052,PROD00242,4
153,ORD0000053,PROD00651,2
154,ORD0000053,PROD00574,2
155,ORD0000054,PROD00593,1
156,ORD0000054,PROD00170,3
157,ORD0000054,PROD00061,3
158,ORD0000055,PROD00392,4
159,ORD0000055,PROD00054,3
160,ORD0000055,PROD00097,4
161,ORD0000055,PROD00743,2
162,ORD0000056,PROD00684,3
163,ORD0000056,PROD00789,3
164,ORD0000056,PROD00378,4
165,ORD0000056,PROD00212,3
166,ORD0000057,PROD00109,1
167,ORD0000057,PROD00084,4
168,ORD0000057,PROD00727,4
169,ORD0000057,PROD00140,1
170,ORD0000057,PROD00352,4
171,ORD0000058,PROD00240,3
172,ORD0000058,PROD00240,3
173,ORD0000058,PROD00128,4
174,ORD0000059,PROD00543,4
175,ORD0000059,PROD00673,3
176,ORD0000060,PROD00052,2
177,ORD0000060,PROD00699,2
178,ORD0000060,PROD00438,4
179,ORD0000060,PROD00681,3
180,ORD0000060,PROD00705,4
181,ORD0000061,PROD00384,2
182,ORD0000062,PROD00183,3
183,ORD0000062,PROD00762,3
184,ORD0000062,PROD00272,2
185,ORD0000062,PROD00727,2
186,ORD0000063,PROD00780,1
187,ORD0000064,PROD00479,2
188,ORD0000065,PROD00386,3
189,ORD0000065,PROD00699,2
190,ORD0000066,PROD00650,3
191,ORD0000066,PROD00638,3
192,ORD0000066,PROD00425,3
193,ORD0000067,PROD00170,3
194,ORD0000068,PROD00187,1
195,ORD0000068,PROD00736,4
196,ORD0000068,PROD00419,3
197,ORD0000068,PROD00489,2
198,ORD0000069,PROD00145,2
199,ORD0000069,PROD00517,3
200,ORD0000070,PROD00680,1
201,ORD0000070,PROD00181,3
202,ORD0000070,PROD00248,1
203,ORD0000070,PROD00770,3
204,ORD0000071,PROD00696,1
205,ORD0000071,PROD00652,2
206,ORD0000071,PROD00239,3
207,ORD0000071,PROD00081,4
208,ORD0000072,PROD00707,4
209,ORD0000072,PROD00119,3
210,ORD0000073,PROD00784,3
211,ORD0000073,PROD00671,1
212,ORD0000073,PROD00528,4
213,ORD0000073,PROD00663,4
214,ORD0000073,PROD00794,2
215,ORD0000074,PROD00481,4
216,ORD0000074,PROD00449,3
217,ORD0000074,PROD00453,2
218,ORD0000074,PROD00133,3
219,ORD0000075,PROD00464,2
220,ORD0000075,PROD00033,3
221,ORD0000075,PROD00795,3
222,ORD0000075,PROD00347,2
223,ORD0000075,PROD00462,2
224,ORD0000076,PROD00460,1
225,ORD0000077,PROD00626,1
226,ORD0000077,PROD00110,3
227,ORD0000077,PROD00332,4
228,ORD0000078,PROD00165,2
229,ORD0000078,PROD00180,1
230,ORD0000079,PROD00282,2
231,ORD0000079,PROD00244,3
232,ORD0000079,PROD00308,3
233,ORD0000080,PROD00628,3
234,ORD0000080,PROD00646,4
235,ORD0000081,PROD00418,2
236,ORD0000081,PROD00528,4
237,ORD0000081,PROD00102,3
238,ORD0000081,PROD00468,3
239,ORD0000081,PROD00321,2
240,ORD0000082,PROD00715,1
241,ORD0000083,PROD00085,3
242,ORD0000083,PROD00520,3
243,ORD0000083,PROD00454,4
244,ORD0000084,PROD00636,1
245,ORD0000084,PROD00159,3
246,ORD0000084,PROD00224,3
247,ORD0000084,PROD00110,2
248,ORD0000085,PROD00549,1
249,ORD0000085,PROD00018,3
250,ORD0000085,PROD00484,3
251,ORD0000085,PROD00790,4
252,ORD0000086,PROD00309,3
253,ORD0000087,PROD00212,1
254,ORD0000088,PROD00186,1
255,ORD0000088,PROD00375,1
256,ORD0000089,PROD00046,1
257,ORD0000090,PROD00442,3
258,ORD0000090,PROD00227,3
259,ORD0000090,PROD00074,1
260,ORD0000090,PROD00572,1
261,ORD0000090,PROD00113,2
262,ORD0000091,PROD00621,2
263,ORD0000091,PROD00624,1
264,ORD0000091,PROD00063,2
265,ORD0000091,PROD00394,3
266,ORD0000092,PROD00163,4
267,ORD0000093,PROD00759,1
268,ORD0000093,PROD00073,4
269,ORD0000093,PROD00704,2
270,ORD0000093,PROD00312,2
271,ORD0000094,PROD00467,2
272,ORD0000094,PROD00170,2
273,ORD0000094,PROD00143,2
274,ORD0000094,PROD00196,2
275,ORD0000095,PROD00623,1
276,ORD0000096,PROD00123,2
277,ORD0000096,PROD00418,1
278,ORD0000096,PROD00202,4
279,ORD0000096,PROD00483,3
280,ORD0000097,PROD00027,1
281,ORD0000097,PROD00170,2
282,ORD0000097,PROD00217,4
283,ORD0000097,PROD00182,3
284,ORD0000097,PROD00434,1
285,ORD0000098,PROD00552,3
286,ORD0000098,PROD00308,2
287,ORD0000098,PROD00015,4
288,ORD0000098,PROD00213,1
289,ORD0000098,PROD00339,2
290,ORD0000099,PROD00426,4
291,ORD0000099,PROD00221,1
292,ORD0000100,PROD00417,2
293,ORD0000100,PROD00198,1
294,ORD0000100,PROD00350,4
295,ORD0000101,PROD00606,4
296,ORD0000101,PROD00660,1
297,ORD0000101,PROD00404,2
298,ORD0000102,PROD00640,1
299,ORD0000102,PROD00457,1
300,ORD0000102,PROD00164,3
301,ORD0000103,PROD00096,3
302,ORD0000103,PROD00232,3
303,ORD0000103,PROD00589,4
304,ORD0000103,PROD00345,1
305,ORD0000104,PROD00314,4
306,ORD0000104,PROD00717,4
307,ORD0000104,PROD00031,4
308,ORD0000104,PROD00553,4
309,ORD0000105,PROD00697,3
310,ORD0000105,PROD00272,4
311,ORD0000105,PROD00444,4
312,ORD0000105,PROD00694,1
313,ORD0000106,PROD00097,3
314,ORD0000106,PROD00130,3
315,ORD0000106,PROD00314,4
316,ORD0000107,PROD00576,4
317,ORD0000108,PROD00663,3
318,ORD0000108,PROD00649,1
319,ORD0000108,PROD00424,3
320,ORD0000109,PROD00466,1
321,ORD0000109,PROD00613,3
322,ORD0000109,PROD00738,4
323,ORD0000109,PROD00580,4
324,ORD0000110,PROD00160,4
325,ORD0000110,PROD00106,2
326,ORD0000111,PROD00369,1
327,ORD0000112,PROD00100,3
328,ORD0000112,PROD00078,2
329,ORD0000112,PROD00077,1
330,ORD0000113,PROD00507,3
331,ORD0000114,PROD00494,2
332,ORD0000114,PROD00562,3
333,ORD0000115,PROD00381,4
334,ORD0000115,PROD00339,4
335,ORD0000116,PROD00788,3
336,ORD0000116,PROD00111,4
337,ORD0000116,PROD00417,3
338,ORD0000116,PROD00594,2
339,ORD0000116,PROD00585,1
340,ORD0000117,PROD00007,2
341,ORD0000117,PROD00660,2
342,ORD0000117,PROD00164,1
343,ORD0000118,PROD00282,4
344,ORD0000118,PROD00549,1
345,ORD0000118,PROD00779,2
346,ORD0000118,PROD00730,1
347,ORD0000119,PROD00051,1
348,ORD0000119,PROD00465,1
349,ORD0000119,PROD00660,1
350,ORD0000119,PROD00554,1
351,ORD0000120,PROD00132,2
352,ORD0000121,PROD00724,1
353,ORD0000121,PROD00109,3
354,ORD0000121,PROD00784,2
355,ORD0000121,PROD00228,1
356,ORD0000121,PROD00394,3
357,ORD0000122,PROD00466,4
358,ORD0000122,PROD00439,4
359,ORD0000122,PROD00104,4
360,ORD0000122,PROD00484,3
361,ORD0000123,PROD00120,2
362,ORD0000124,PROD00182,2
363,ORD0000124,PROD00111,3
364,ORD0000124,PROD00512,4
365,ORD0000125,PROD00429,3
366,ORD0000125,PROD00245,3
367,ORD0000125,PROD00374,3
368,ORD0000126,PROD00126,3
369,ORD0000127,PROD00423,3
370,ORD0000127,PROD00429,1
371,ORD0000127,PROD00291,4
372,ORD0000128,PROD00522,4
373,ORD0000128,PROD00614,1
374,ORD0000129,PROD00519,4
375,ORD0000130,PROD00003,3
376,ORD0000130,PROD00244,3
377,ORD0000130,PROD00462,3
378,ORD0000130,PROD00397,2
379,ORD0000130,PROD00594,1
380,ORD0000131,PROD00114,4
381,ORD0000132,PROD00731,1
382,ORD0000133,PROD00345,2
383,ORD0000133,PROD00767,2
384,ORD0000133,PROD00158,2
385,ORD0000134,PROD00531,4
386,ORD0000134,PROD00396,1
387,ORD0000135,PROD00724,3
388,ORD0000135,PROD00319,3
389,ORD0000136,PROD00496,4
390,ORD0000136,PROD00724,3
391,ORD0000137,PROD00728,4
392,ORD0000137,PROD00296,4
393,ORD0000138,PROD00589,3
394,ORD0000139,PROD00208,1
395,ORD0000139,PROD00115,3
396,ORD0000139,PROD00092,2
397,ORD0000139,PROD00670,3
398,ORD0000140,PROD00200,1
399,ORD0000140,PROD00281,4
400,ORD0000140,PROD00034,1
401,ORD0000140,PROD00586,2
402,ORD0000140,PROD00672,1
403,ORD0000141,PROD00610,1
404,ORD0000141,PROD00594,2
405,ORD0000141,PROD00284,1
406,ORD0000142,PROD00320,2
407,ORD0000142,PROD00575,3
408,ORD0000143,PROD00164,1
409,ORD0000143,PROD00002,4
410,ORD0000143,PROD00061,4
411,ORD0000143,PROD00745,4
412,ORD0000143,PROD00429,3
413,ORD0000144,PROD00266,1
414,ORD0000144,PROD00118,2
415,ORD0000144,PROD00540,1
416,ORD0000144,PROD00210,2
417,ORD0000144,PROD00749,2
418,ORD0000145,PROD00223,2
419,ORD0000145,PROD00754,4
420,ORD0000145,PROD00576,3
421,ORD0000145,PROD00718,4
422,ORD0000145,PROD00088,1
423,ORD0000146,PROD00317,1
424,ORD0000147,PROD00638,2
425,ORD0000148,PROD00264,4
426,ORD0000148,PROD00350,2
427,ORD0000148,PROD00513,4
428,ORD0000148,PROD00506,1
429,ORD0000149,PROD00715,4
430,ORD0000149,PROD00479,4
431,ORD0000150,PROD00628,2
432,ORD0000150,PROD00390,3
433,ORD0000150,PROD00080,2
434,ORD0000150,PROD00366,4
435,ORD0000151,PROD00035,1
436,ORD0000151,PROD00587,1
437,ORD0000151,PROD00206,1
438,ORD0000151,PROD00278,4
439,ORD0000151,PROD00677,1
440,ORD0000152,PROD00001,3
441,ORD0000152,PROD00174,3
442,ORD0000152,PROD00699,2
443,ORD0000152,PROD00240,3
444,ORD0000153,PROD00528,3
445,ORD0000153,PROD00694,2
446,ORD0000154,PROD00227,2
447,ORD0000154,PROD00303,4
448,ORD0000155,PROD00554,1
449,ORD0000155,PROD00307,2
450,ORD0000155,PROD00258,4
451,ORD0000155,PROD00159,1
452,ORD0000155,PROD00600,2
453,ORD0000156,PROD00738,4
454,ORD0000156,PROD00267,1
455,ORD0000156,PROD00209,4
456,ORD0000157,PROD00491,4
457,ORD0000157,PROD00579,3
458,ORD0000158,PROD00442,4
459,ORD0000159,PROD00323,3
460,ORD0000159,PROD00569,3
461,ORD0000159,PROD00107,1
462,ORD0000159,PROD00288,3
463,ORD0000160,PROD00773,2
464,ORD0000160,PROD00019,1
465,ORD0000160,PROD00376,1
466,ORD0000160,PROD00224,3
467,ORD0000161,PROD00644,3
468,ORD0000162,PROD00545,3
469,ORD0000162,PROD00684,3
470,ORD0000162,PROD00763,4
471,ORD0000162,PROD00288,4
472,ORD0000162,PROD00693,3
473,ORD0000163,PROD00670,2
474,ORD0000163,PROD00453,3
475,ORD0000163,PROD00300,3
476,ORD0000163,PROD00407,3
477,ORD0000163,PROD00575,4
478,ORD0000164,PROD00169,3
479,ORD0000164,PROD00598,3
480,ORD0000165,PROD00544,1
481,ORD0000165,PROD00583,3
482,ORD0000165,PROD00723,2
483,ORD0000165,PROD00569,3
484,ORD0000165,PROD00519,2
485,ORD0000166,PROD00632,3
486,ORD0000166,PROD00262,3
487,ORD0000166,PROD00545,3
488,ORD0000166,PROD00006,1
489,ORD0000166,PROD00395,4
490,ORD0000167,PROD00338,1
491,ORD0000167,PROD00676,3
492,ORD0000167,PROD00072,1
493,ORD0000168,PROD00272,1
494,ORD0000168,PROD00476,1
495,ORD0000168,PROD00066,2
496,ORD0000168,PROD00215,2
497,ORD0000168,PROD00385,1
498,ORD0000169,PROD00712,3
499,ORD0000169,PROD00300,4
500,ORD0000169,PROD00470,2
501,ORD0000169,PROD00617,4
502,ORD0000169,PROD00019,4
503,ORD0000170,PROD00162,3
504,ORD0000170,PROD00285,1
505,ORD0000171,PROD00168,4
506,ORD0000171,PROD00417,2
507,ORD0000171,PROD00590,1
508,ORD0000172,PROD00004,4
509,ORD0000172,PROD00113,4
510,ORD0000173,PROD00018,4
511,ORD0000173,PROD00724,3
512,ORD0000173,PROD00430,4
513,ORD0000174,PROD00175,3
514,ORD0000174,PROD00237,4
515,ORD0000174,PROD00144,4
516,ORD0000174,PROD00557,4
517,ORD0000174,PROD00788,4
518,ORD0000175,PROD00198,1
519,ORD0000175,PROD00476,1
520,ORD0000175,PROD00222,2
521,ORD0000175,PROD00005,1
522,ORD0000176,PROD00775,3
523,ORD0000176,PROD00312,4
524,ORD0000176,PROD00221,1
525,ORD0000177,PROD00342,2
526,ORD0000177,PROD00216,1
527,ORD0000177,PROD00165,3
528,ORD0000177,PROD00561,2
529,ORD0000177,PROD00077,2
530,ORD0000178,PROD00372,2
531,ORD0000178,PROD00587,2
532,ORD0000178,PROD00089,3
533,ORD0000178,PROD00150,3
534,ORD0000179,PROD00093,2
535,ORD0000179,PROD00705,1
536,ORD0000180,PROD00349,2
537,ORD0000180,PROD00778,2
538,ORD0000180,PROD00745,1
539,ORD0000181,PROD00399,4
540,ORD0000181,PROD00709,4
541,ORD0000181,PROD00109,4
542,ORD0000181,PROD00452,3
543,ORD0000181,PROD00421,4
544,ORD0000182,PROD00181,2
545,ORD0000182,PROD00574,4
546,ORD0000182,PROD00210,1
547,ORD0000182,PROD00294,3
548,ORD0000182,PROD00050,3
549,ORD0000183,PROD00401,1
550,ORD0000184,PROD00014,4
551,ORD0000185,PROD00583,1
552,ORD0000185,PROD00430,1
