Timestamp,User_ID,Page_Visited,Device_Type,Region,Session_Duration,Bounce_Rate,Conversion,Page_Load_Time
1/1/2024 0:00,user_103,Home,Mobile,Europe,195.72,0.93,0,2.23
1/1/2024 0:15,user_436,Login,Mobile,North America,447.93,0.87,0,3.58
1/1/2024 0:30,user_861,Search,Tablet,Europe,582.88,0.13,0,0.97
1/1/2024 0:45,user_271,Login,Desktop,South America,265.63,0.17,0,9.53
1/1/2024 1:00,user_107,Checkout,Mobile,North America,517.31,0.36,0,6.02
1/1/2024 1:15,user_72,Checkout,Desktop,South America,341.69,0.29,0,8.24
1/1/2024 1:30,user_701,Checkout,Mobile,Africa,98.56,0.61,0,4.52
1/1/2024 1:45,user_21,Profile,Desktop,South America,415.92,0.9,0,9.08
1/1/2024 2:00,user_615,Help,Tablet,South America,310.49,0.96,0,5.09
1/1/2024 2:15,user_122,Profile,Desktop,Europe,392.11,0.65,0,5.95
1/1/2024 2:30,user_467,Home,Desktop,Africa,534.36,0.84,0,5.17
1/1/2024 2:45,user_215,Checkout,Desktop,South America,267.06,0.53,0,7.47
1/1/2024 3:00,user_331,Search,Desktop,South America,541.2,0.21,0,5.88
1/1/2024 3:15,user_459,Login,Desktop,Africa,451.65,0.52,1,3.08
1/1/2024 3:30,user_88,Help,Tablet,Africa,295.72,0.56,0,1.88
1/1/2024 3:45,user_373,Product,Mobile,North America,363.92,0.74,0,6.26
1/1/2024 4:00,user_100,Search,Desktop,Europe,198.72,0.22,0,
1/1/2024 4:15,user_872,Help,Tablet,Africa,590.24,0.37,0,1.41
1/1/2024 4:30,user_664,Profile,Desktop,Africa,,0.36,0,4.26
1/1/2024 4:45,user_131,Profile,Desktop,Asia,31.09,0.96,0,5.39
1/1/2024 5:00,user_662,Search,Mobile,Africa,199.34,0.44,0,8.36
1/1/2024 5:15,user_309,Profile,Desktop,Europe,375.87,0.76,0,1.22
1/1/2024 5:30,user_770,Checkout,Tablet,South America,38.52,0.75,0,3.81
1/1/2024 5:45,user_344,Home,Tablet,South America,19.21,0.27,0,8.32
1/1/2024 6:00,user_492,Login,Mobile,South America,272.76,0.57,0,6.66
1/1/2024 6:15,user_414,Home,Desktop,South America,202.95,0.89,0,3.25
1/1/2024 6:30,user_806,Help,Tablet,Asia,265.79,0.48,0,8.53
1/1/2024 6:45,user_386,Login,Desktop,Africa,161.3,0.95,0,5.19
1/1/2024 7:00,user_192,Login,Desktop,South America,103.01,0.21,0,5.23
1/1/2024 7:15,user_956,Home,Desktop,North America,415.04,0.07,0,9.78
1/1/2024 7:30,user_277,Search,Mobile,South America,311.17,0.89,0,9.5
1/1/2024 7:45,user_161,Login,Desktop,Africa,124.09,0.85,0,3.91
1/1/2024 8:00,user_460,Home,Tablet,South America,195.16,0.99,0,1.84
1/1/2024 8:15,user_314,Login,Desktop,Asia,357.13,0.68,0,3.59
1/1/2024 8:30,user_22,Product,Tablet,Europe,47.98,0.94,0,0.79
1/1/2024 8:45,user_253,Search,Desktop,Europe,92.73,0.83,0,0.7
1/1/2024 9:00,user_748,Checkout,Tablet,Africa,48.58,0.84,0,
1/1/2024 9:15,user_857,Login,Tablet,Europe,488.33,0.57,0,9.44
1/1/2024 9:30,user_561,Product,Desktop,Europe,452.68,0.38,0,8.78
1/1/2024 9:45,user_475,Checkout,Desktop,North America,453.22,0.93,1,5.36
1/1/2024 10:00,user_59,Checkout,Tablet,Africa,431.21,0.43,0,5.87
1/1/2024 10:15,user_511,Help,Mobile,Africa,403.28,0.54,0,0.56
1/1/2024 10:30,user_682,Login,Desktop,Europe,288.81,0.45,0,2.55
1/1/2024 10:45,user_476,Home,Mobile,Europe,387.16,0.56,0,0.74
1/1/2024 11:00,user_700,Login,Desktop,Europe,27.83,0.47,0,7.67
1/1/2024 11:15,user_976,Product,Desktop,Asia,374.77,0.05,0,1.88
1/1/2024 11:30,user_783,Checkout,Desktop,South America,467.84,0.88,0,8.76
1/1/2024 11:45,user_190,Login,Desktop,Asia,,0.44,0,6.61
1/1/2024 12:00,user_958,Home,Mobile,Africa,217.72,0.59,0,2.68
1/1/2024 12:15,user_687,Help,Desktop,North America,170.07,0.14,0,2
1/1/2024 12:30,user_958,Login,,South America,387.47,0,0,
1/1/2024 12:45,user_563,Search,Tablet,North America,417.22,0.25,0,9.06
1/1/2024 13:00,user_876,Help,Mobile,Africa,523.23,0.7,0,7.32
1/1/2024 13:15,user_567,Home,Desktop,Africa,208.69,0.1,0,3.81
1/1/2024 13:30,user_244,Product,Tablet,North America,463.01,0.91,0,6.08
1/1/2024 13:45,user_832,Checkout,Mobile,North America,339.01,1.5,0,3.45
1/1/2024 14:00,user_505,Login,Desktop,North America,530.29,0.2,0,9.99
1/1/2024 14:15,user_131,Home,Tablet,Africa,319.05,0.18,0,7.61
1/1/2024 14:30,user_485,Help,Tablet,Europe,312.99,0.01,1,6.34
1/1/2024 14:45,user_819,Search,Mobile,North America,348.84,0.77,0,4.52
1/1/2024 15:00,user_647,Home,Desktop,South America,450.84,0.88,0,6.37
